object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-2-0,0,2,0,plant,plant_002.ply,0,13.173991,11.137108,0.263031,0.287040,0.215759,0.334749,-1.063478
0-2-1,1,2,0,plant,plant_002.ply,1,13.648137,12.164848,0.222831,0.125048,0.126553,0.272904,-0.154096
0-2-2,2,2,0,plant,plant_002.ply,2,12.070670,12.226263,0.419129,0.310789,0.245095,0.601437,-1.118750
0-2-3,3,2,0,shell,shell_002.ply,0,12.462543,11.571407,1.424122,3.272533,2.824350,2.808513,-0.657969
0-2-4,4,2,0,chair,chair_002.ply,0,11.127178,11.704008,0.687099,0.617023,0.266772,0.466558,-1.640383
0-2-5,5,2,0,curtain,curtain_002.ply,0,11.190184,11.538710,0.315298,0.067370,0.025655,0.088339,0.464146
0-2-6,6,2,0,curtain,curtain_002.ply,1,11.128717,11.380467,0.314508,0.077669,0.004752,0.031064,-1.520652
0-2-7,7,2,0,door,door_002.ply,0,11.585232,11.678122,1.268192,1.930732,1.058166,2.293079,-1.493629
0-2-8,8,2,0,window,window_002.ply,0,11.641809,10.822058,0.796647,0.715768,0.169874,0.678422,-0.003395
0-2-9,9,2,0,window,window_002.ply,1,11.339897,11.622779,2.086153,0.305144,0.136894,0.451876,-1.742563
0-2-10,10,2,0,window,window_002.ply,2,13.529929,12.359595,1.959220,0.711055,0.200890,1.267200,-0.140440
0-2-11,11,2,0,window,window_002.ply,3,11.476563,12.523025,1.022440,0.151453,0.151405,0.656479,-2.115331
