file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
shell_007.ply,0,2.549024,3.028222,1.398951,6.180261,5.373959,2.858886,-1.415439
table_007.ply,0,2.019535,2.280135,0.355218,1.024280,0.697002,0.046037,-1.592510
table_007.ply,1,3.982306,0.937612,0.371988,0.983307,0.846941,0.085771,-1.996537
chair_007.ply,0,2.074670,3.600087,0.245510,0.540225,0.262195,0.440406,-1.621813
chair_007.ply,1,2.557971,3.936238,0.825500,0.485739,0.124489,0.331319,-0.734204
chair_007.ply,2,2.524403,4.114764,0.827806,0.198643,0.078324,0.278826,-0.603791
chair_007.ply,3,0.872070,3.476676,0.217817,0.477118,0.080512,0.442299,-1.630862
chair_007.ply,4,0.754545,3.377429,0.418591,0.310282,0.134706,0.014977,-1.607022
monitor_007.ply,0,0.777221,1.090262,1.108902,0.766127,0.067099,0.419998,-0.909823
window_007.ply,0,0.630142,2.274940,2.265296,1.765101,0.870137,0.328595,-1.727545
window_007.ply,1,3.595678,0.303647,1.614301,1.688541,0.309504,1.991341,0.052619
window_007.ply,2,4.444249,0.295956,2.098335,0.173877,0.084328,0.657022,0.241133
window_007.ply,3,2.338856,1.006410,2.392627,3.909085,0.189611,0.135458,-0.060178
window_007.ply,4,1.039840,0.438647,1.865140,1.526437,0.277737,1.370902,-0.108008
window_007.ply,5,2.434096,0.521289,1.439903,1.079916,0.456948,1.080540,0.012914
window_007.ply,6,1.252141,0.427421,1.516403,1.163707,0.231749,1.827011,-0.046290
window_007.ply,7,0.343051,2.359036,0.781015,1.178707,0.272980,1.035388,-1.667259
couch_007.ply,0,3.906900,2.263361,0.451648,2.083520,1.930977,0.897558,-2.106887
couch_007.ply,1,0.883532,1.922990,0.325236,0.754274,0.688493,0.657717,-0.707392
couch_007.ply,2,0.978449,2.821053,0.318992,0.756789,0.641963,0.638200,0.773114
door_007.ply,0,4.382623,4.029957,1.109857,1.067580,1.127306,2.180263,0.006779
door_007.ply,1,3.535828,5.443532,1.109126,1.667070,0.430837,2.161654,-0.075486
door_007.ply,2,1.607741,5.587957,1.187374,1.355628,0.546261,1.945654,0.157944
door_007.ply,3,2.235296,5.324811,1.754947,0.329653,0.046169,0.629088,-1.619853
curtain_007.ply,0,0.489721,3.073123,1.260064,0.684001,0.319281,1.979832,-1.652676
curtain_007.ply,1,4.245448,0.331726,1.457508,0.637702,0.196258,2.016131,0.017846
curtain_007.ply,2,0.717761,0.492810,1.589983,0.536950,0.260966,1.800304,-0.048084
curtain_007.ply,3,0.432496,1.648574,1.347852,0.484247,0.252043,1.745023,-1.741434
