object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-4-0,0,4,0,chair,chair_004.ply,0,2.480979,3.270998,0.190927,0.153097,0.108428,0.331004,0.133259
0-4-1,1,4,0,chair,chair_004.ply,1,2.074670,3.600087,0.245510,0.540225,0.262195,0.440406,-1.621814
0-4-2,2,4,0,chair,chair_004.ply,2,2.557971,3.936237,0.825500,0.485739,0.124489,0.331319,-0.734205
0-4-3,3,4,0,chair,chair_004.ply,3,2.524403,4.114764,0.827806,0.198643,0.078324,0.278826,-0.603791
0-4-4,4,4,0,chair,chair_004.ply,4,0.872070,3.476676,0.217817,0.477118,0.080512,0.442299,-1.630862
0-4-5,5,4,0,chair,chair_004.ply,5,0.754544,3.377429,0.418591,0.310282,0.134706,0.014977,-1.607022
0-4-6,6,4,0,couch,couch_004.ply,0,3.854147,2.291960,0.451648,2.087085,1.804935,0.897558,-2.113986
0-4-7,7,4,0,couch,couch_004.ply,1,0.883533,1.922990,0.325236,0.754275,0.688493,0.657717,-0.707390
0-4-8,8,4,0,couch,couch_004.ply,2,0.978448,2.821054,0.318992,0.756788,0.641962,0.638200,0.773120
0-4-9,9,4,0,curtain,curtain_004.ply,0,0.489721,3.073123,1.260064,0.684001,0.319281,1.979832,-1.652677
0-4-10,10,4,0,curtain,curtain_004.ply,1,4.172669,0.287061,1.457508,0.487240,0.293318,2.016131,0.057237
0-4-11,11,4,0,curtain,curtain_004.ply,2,0.717762,0.492820,1.589983,0.536950,0.260979,1.800304,-0.048169
0-4-12,12,4,0,curtain,curtain_004.ply,3,0.432496,1.648574,1.347852,0.484247,0.252043,1.745023,-1.741435
0-4-13,13,4,0,door,door_004.ply,0,4.181400,3.775866,1.064996,0.691445,0.128834,2.090541,-0.280932
0-4-14,14,4,0,door,door_004.ply,1,4.218097,5.309981,0.402492,0.336082,0.053052,0.688388,-2.301834
0-4-15,15,4,0,door,door_004.ply,2,3.536948,5.458446,1.109126,1.667015,0.460434,2.161654,-0.075768
0-4-16,16,4,0,door,door_004.ply,3,1.607741,5.587958,1.187374,1.355628,0.546261,1.945654,0.157945
0-4-17,17,4,0,door,door_004.ply,4,2.235296,5.324811,1.754947,0.329653,0.046169,0.629088,-1.619853
0-4-18,18,4,0,monitor,monitor_004.ply,0,0.777221,1.090262,1.108902,0.766126,0.067099,0.419998,-0.909823
0-4-19,19,4,0,shell,shell_004.ply,0,2.313972,3.000554,1.362165,6.002468,4.562216,2.932458,-1.640530
0-4-20,20,4,0,table,table_004.ply,0,2.019535,2.280135,0.355218,1.024280,0.697001,0.046037,-1.592511
0-4-21,21,4,0,table,table_004.ply,1,3.978008,0.906513,0.370810,1.012476,0.826932,0.083414,-1.703274
0-4-22,22,4,0,table,table_004.ply,2,1.692775,0.969619,0.591042,0.540962,0.376125,0.032154,-1.618687
0-4-23,23,4,0,window,window_004.ply,0,0.571534,2.290112,1.289421,1.768767,1.071563,2.280346,-1.666586
0-4-24,24,4,0,window,window_004.ply,1,3.477292,0.227426,1.589786,1.875128,0.472065,2.040372,0.070948
0-4-25,25,4,0,window,window_004.ply,2,2.338856,1.006410,2.392627,3.909085,0.189612,0.135458,-0.060179
0-4-26,26,4,0,window,window_004.ply,3,1.040610,0.321547,1.545235,1.558849,0.532299,2.010712,-0.131097
0-4-27,27,4,0,window,window_004.ply,4,2.434096,0.521289,1.439903,1.079916,0.456948,1.080540,0.012914
0-4-28,28,4,0,window,window_004.ply,5,0.323777,0.154783,1.689977,0.351310,0.050007,1.100179,-0.086400
